IdNum,ArtistName,AlbumTItle,Genre,YearReleased,OnLoan,Borrower
1,Simon and Garfunkel,"Parsley, Sage Rosemary, and Thyme",Folk Rock,1966,FALSE,n/a
2,Men At Work,Business As Usual,New Wave,1982,TRUE,Natalie
